N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.857341948562017,0.8310485421033715,0.8156043257725796,0.19230769230769232,0.7610131294516488,0.2909220601506661
Model2,500,2,1,0.863549980995819,0.8478814640181588,0.8282398014480262,0.23755656108597284,0.8100284322393856,0.34681748996108597
Model3,500,3,1,0.8624097301406309,0.8278376875317457,0.842151645320015,0.3559577677224736,0.6143237141735155,0.4460886482196164
Model4,500,1,2,0.8881287216520968,0.8857938379446205,0.8641172426022663,0.3740573152337858,0.9042772725191812,0.5013542666067827
Model5,500,2,2,0.8985176738882554,0.9039172880303451,0.8931488491170825,0.6093514328808446,0.8403721950482959,0.6737703303656204
Model6,500,3,2,0.9185354111237806,0.9154699124891306,0.9078120861151792,0.5957767722473605,0.9228901827647316,0.6947365855064683
Model7,800,1,2,0.8945901431648295,0.8874873692350795,0.8747577428204218,0.40648567119155354,0.8902897944187536,0.5462222137622134
Model8,800,2,2,0.8983909793487901,0.908396791239822,0.9019800238149083,0.6930618401206636,0.8851408078334809,0.7757398124486748
Model9,800,3,2,0.9158748257950082,0.9179059874195236,0.9166315038037706,0.7390648567119156,0.9118437695620046,0.8144638764326213
